"ac" "adapt" "subj" "resp" "nobs" "nno" "ryes" "id"
-1.51579481718301 "0" "1" 0.1 20 18 2 "0.1"
-1.11027454098311 "0" "1" 0 20 20 0 "0.1"
-0.646822796754659 "0" "1" 0.05 20 19 1 "0.1"
-0.29923398858332 "0" "1" 0.3 20 14 6 "0.1"
0.222149223673688 "0" "1" 0.65 20 7 13 "0.1"
0.743532435930696 "0" "1" 0.95 20 1 19 "0.1"
1.20698418015915 "0" "1" 0.95 20 1 19 "0.1"
1.38077858424482 "0" "1" 0.9 20 2 18 "0.1"
-1.51579481718301 "1" "1" 0 20 20 0 "1.1"
-1.11027454098311 "1" "1" 0 20 20 0 "1.1"
-0.646822796754659 "1" "1" 0 20 20 0 "1.1"
-0.29923398858332 "1" "1" 0.15 20 17 3 "1.1"
0.222149223673688 "1" "1" 0.7 20 6 14 "1.1"
0.743532435930696 "1" "1" 0.8 20 4 16 "1.1"
1.20698418015915 "1" "1" 1 20 0 20 "1.1"
1.38077858424482 "1" "1" 1 20 0 20 "1.1"
-1.51579481718301 "0" "2" 0 20 20 0 "0.2"
-1.11027454098311 "0" "2" 0 20 20 0 "0.2"
-0.646822796754659 "0" "2" 0 20 20 0 "0.2"
-0.29923398858332 "0" "2" 0 20 20 0 "0.2"
0.222149223673688 "0" "2" 0.05 20 19 1 "0.2"
0.743532435930696 "0" "2" 0.25 20 15 5 "0.2"
1.20698418015915 "0" "2" 0.6 20 8 12 "0.2"
1.38077858424482 "0" "2" 0.5 20 10 10 "0.2"
-1.51579481718301 "1" "2" 0 20 20 0 "1.2"
-1.11027454098311 "1" "2" 0 20 20 0 "1.2"
-0.646822796754659 "1" "2" 0.15 20 17 3 "1.2"
-0.29923398858332 "1" "2" 0.1 20 18 2 "1.2"
0.222149223673688 "1" "2" 0.45 20 11 9 "1.2"
0.743532435930696 "1" "2" 0.55 20 9 11 "1.2"
1.20698418015915 "1" "2" 0.6 20 8 12 "1.2"
1.38077858424482 "1" "2" 0.85 20 3 17 "1.2"
-1.51579481718301 "0" "3" 0 20 20 0 "0.3"
-1.11027454098311 "0" "3" 0.1 20 18 2 "0.3"
-0.646822796754659 "0" "3" 0 20 20 0 "0.3"
-0.29923398858332 "0" "3" 0 20 20 0 "0.3"
0.222149223673688 "0" "3" 0.2 20 16 4 "0.3"
0.743532435930696 "0" "3" 0.5 20 10 10 "0.3"
1.20698418015915 "0" "3" 0.85 20 3 17 "0.3"
1.38077858424482 "0" "3" 0.75 20 5 15 "0.3"
-1.51579481718301 "1" "3" 0.05 20 19 1 "1.3"
-1.11027454098311 "1" "3" 0 20 20 0 "1.3"
-0.646822796754659 "1" "3" 0 20 20 0 "1.3"
-0.29923398858332 "1" "3" 0.05 20 19 1 "1.3"
0.222149223673688 "1" "3" 0.4 20 12 8 "1.3"
0.743532435930696 "1" "3" 0.55 20 9 11 "1.3"
1.20698418015915 "1" "3" 0.85 20 3 17 "1.3"
1.38077858424482 "1" "3" 0.85 20 3 17 "1.3"
-1.51579481718301 "0" "4" 0 20 20 0 "0.4"
-1.11027454098311 "0" "4" 0 19 19 0 "0.4"
-0.646822796754659 "0" "4" 0.15 20 17 3 "0.4"
-0.29923398858332 "0" "4" 0.65 20 7 13 "0.4"
0.222149223673688 "0" "4" 0.95 20 1 19 "0.4"
0.743532435930696 "0" "4" 1 20 0 20 "0.4"
1.20698418015915 "0" "4" 1 20 0 20 "0.4"
1.38077858424482 "0" "4" 1 20 0 20 "0.4"
-1.51579481718301 "1" "4" 0 19 19 0 "1.4"
-1.11027454098311 "1" "4" 0 19 19 0 "1.4"
-0.646822796754659 "1" "4" 0.15 20 17 3 "1.4"
-0.29923398858332 "1" "4" 0.5 20 10 10 "1.4"
0.222149223673688 "1" "4" 0.9 20 2 18 "1.4"
0.743532435930696 "1" "4" 1 20 0 20 "1.4"
1.20698418015915 "1" "4" 0.95 20 1 19 "1.4"
1.38077858424482 "1" "4" 1 20 0 20 "1.4"
-1.51579481718301 "0" "5" 0.1 20 18 2 "0.5"
-1.11027454098311 "0" "5" 0 20 20 0 "0.5"
-0.646822796754659 "0" "5" 0 20 20 0 "0.5"
-0.29923398858332 "0" "5" 0 20 20 0 "0.5"
0.222149223673688 "0" "5" 0.05 20 19 1 "0.5"
0.743532435930696 "0" "5" 0.3 20 14 6 "0.5"
1.20698418015915 "0" "5" 0.7 20 6 14 "0.5"
1.38077858424482 "0" "5" 0.6 20 8 12 "0.5"
-1.51579481718301 "1" "5" 0 20 20 0 "1.5"
-1.11027454098311 "1" "5" 0 20 20 0 "1.5"
-0.646822796754659 "1" "5" 0.05 20 19 1 "1.5"
-0.29923398858332 "1" "5" 0.3 20 14 6 "1.5"
0.222149223673688 "1" "5" 0.45 20 11 9 "1.5"
0.743532435930696 "1" "5" 0.8 20 4 16 "1.5"
1.20698418015915 "1" "5" 0.95 20 1 19 "1.5"
1.38077858424482 "1" "5" 0.95 20 1 19 "1.5"
